Authors,DOI,DataSourceType,FeatureName,Latitude,Longitude,FeatureType,FeatureCategory,ThawType,Imagery,ImageryDates,ImageryResolution_meters
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,IM1VAG,68.5541,-149.5577,Thermo-erosion gully,Thermoerosional gully,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Gully 1,69.2278,-150.5534,Thermo-erosion gully,Thermoerosional gully,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Im2 TK,68.5435,-149.5225,Thermo-erosion gully,Thermoerosional gully,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Im2 CS,68.5442,-149.5214,Thermo-erosion gully,Thermoerosional gully,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Kup TK 2012,68.6523,-149.4202,Thermo-erosion gully,Thermoerosional gully,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Kup WT 2012,68.6515,-149.4223,Thermo-erosion gully,Thermoerosional gully,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Mastadon,68.03759,-159.28887,Thermo-erosion gully,Thermoerosional gully,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,TRoadTK wt,68.69149,-149.182604,Thermo-erosion gully,Thermoerosional gully,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,TRoadTK2,68.691239,-149.180916,Thermo-erosion gully,Thermoerosional gully,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,TRWT,68.6906,-149.1922,Thermo-erosion gully,Thermoerosional gully,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,t37a,68.87148,-149.57809,Thermo-erosion gully,Thermoerosional gully,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,t41,68.5875,-149.7942,Thermo-erosion gully,Thermoerosional gully,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,t54,68.6192,-149.4251,Thermo-erosion gully,Thermoerosional gully,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,t67,68.7223,-149.7505,Thermo-erosion gully,Thermoerosional gully,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,TRTK UP,68.6911,-149.2084,Thermo-erosion gully,Thermoerosional gully,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,TRTK DOWN,68.6923,-149.2067,Thermo-erosion gully,Thermoerosional gully,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Old leather,68.04614,-158.86201,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Angry,68.555298,-149.574893,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Boot,68.03301,-157.73651,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
