# CSV-File created with merge-csv.com
# -----------------------------------------------------------

X,Y,Name,AltMode,Base,Field_1,FolderPath,HasLabel,LabelID,Name2,OID,PopupInfo,SymbolID
-147.674028773,66.2188741413047,171,-1,0,171,Temporary Places/BorealInterior_50random_500m_JS.kmz/BorealInterior_50random_500m_JS,0,-1,171,201,"&lt;html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""&gt;    &lt;head&gt;    &lt;META http-equiv=""Content-Type"" content=""text/html""&gt;    &lt;meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""&gt;    &lt;/head&gt;    &lt;body style=""margin:0px 0px 0px 0px;overflow:auto;background:#FFFFFF;""&gt;    &lt;table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-collapse:collapse;padding:3px 3px 3px 3px""&gt;    &lt;tr style=""text-align:center;font-weight:bold;background:#9CBCE2""&gt;    &lt;td&gt;171&lt;/td&gt;    &lt;/tr&gt;    &lt;tr&gt;    &lt;td&gt;    &lt;table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-spacing:0px; padding:3px 3px 3px 3px""&gt;    &lt;tr&gt;    &lt;td&gt;FID&lt;/td&gt;    &lt;td&gt;0&lt;/td&gt;    &lt;/tr&gt;    &lt;tr bgcolor=""#D4E4F3""&gt;    &lt;td&gt;CID&lt;/td&gt;    &lt;td&gt;171&lt;/td&gt;    &lt;/tr&gt;    &lt;/table&gt;    &lt;/td&gt;    &lt;/tr&gt;    &lt;/table&gt;    &lt;/body&gt;&lt;script type=""text/javascript""&gt;    				function changeImage(attElement, nameElement) {    				document.getElementById('imageAttachment').src = attElement;    				document.getElementById('imageName').innerHTML = nameElement;}    			&lt;/script&gt;&lt;/html&gt;",1
-147.791185859,64.9217695592766,217,-1,0,217,Temporary Places/BorealInterior_50random_500m_JS.kmz/BorealInterior_50random_500m_JS,0,-1,217,202,"&lt;html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""&gt;    &lt;head&gt;    &lt;META http-equiv=""Content-Type"" content=""text/html""&gt;    &lt;meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""&gt;    &lt;/head&gt;    &lt;body style=""margin:0px 0px 0px 0px;overflow:auto;background:#FFFFFF;""&gt;    &lt;table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-collapse:collapse;padding:3px 3px 3px 3px""&gt;    &lt;tr style=""text-align:center;font-weight:bold;background:#9CBCE2""&gt;    &lt;td&gt;217&lt;/td&gt;    &lt;/tr&gt;    &lt;tr&gt;    &lt;td&gt;    &lt;table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-spacing:0px; padding:3px 3px 3px 3px""&gt;    &lt;tr&gt;    &lt;td&gt;FID&lt;/td&gt;    &lt;td&gt;1&lt;/td&gt;    &lt;/tr&gt;    &lt;tr bgcolor=""#D4E4F3""&gt;    &lt;td&gt;CID&lt;/td&gt;    &lt;td&gt;217&lt;/td&gt;    &lt;/tr&gt;    &lt;/table&gt;    &lt;/td&gt;    &lt;/tr&gt;    &lt;/table&gt;    &lt;/body&gt;&lt;script type=""text/javascript""&gt;    				function changeImage(attElement, nameElement) {    				document.getElementById('imageAttachment').src = attElement;    				document.getElementById('imageName').innerHTML = nameElement;}    			&lt;/script&gt;&lt;/html&gt;",1
-147.915187937,66.4578725063101,1548,-1,0,1548,Temporary Places/BorealInterior_50random_500m_JS.kmz/BorealInterior_50random_500m_JS,0,-1,1548,203,"&lt;html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""&gt;    &lt;head&gt;    &lt;META http-equiv=""Content-Type"" content=""text/html""&gt;    &lt;meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""&gt;    &lt;/head&gt;    &lt;body style=""margin:0px 0px 0px 0px;overflow:auto;background:#FFFFFF;""&gt;    &lt;table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-collapse:collapse;padding:3px 3px 3px 3px""&gt;    &lt;tr style=""text-align:center;font-weight:bold;background:#9CBCE2""&gt;    &lt;td&gt;1548&lt;/td&gt;    &lt;/tr&gt;    &lt;tr&gt;    &lt;td&gt;    &lt;table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-spacing:0px; padding:3px 3px 3px 3px""&gt;    &lt;tr&gt;    &lt;td&gt;FID&lt;/td&gt;    &lt;td&gt;2&lt;/td&gt;    &lt;/tr&gt;    &lt;tr bgcolor=""#D4E4F3""&gt;    &lt;td&gt;CID&lt;/td&gt;    &lt;td&gt;1548&lt;/td&gt;    &lt;/tr&gt;    &lt;/table&gt;    &lt;/td&gt;    &lt;/tr&gt;    &lt;/table&gt;    &lt;/body&gt;&lt;script type=""text/javascript""&gt;    				function changeImage(attElement, nameElement) {    				document.getElementById('imageAttachment').src = attElement;    				document.getElementById('imageName').innerHTML = nameElement;}    			&lt;/script&gt;&lt;/html&gt;",1
-148.773453136,65.2494035142836,1623,-1,0,1623,Temporary Places/BorealInterior_50random_500m_JS.kmz/BorealInterior_50random_500m_JS,0,-1,1623,204,"&lt;html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""&gt;    &lt;head&gt;    &lt;META http-equiv=""Content-Type"" content=""text/html""&gt;    &lt;meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""&gt;    &lt;/head&gt;    &lt;body style=""margin:0px 0px 0px 0px;overflow:auto;background:#FFFFFF;""&gt;    &lt;table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-collapse:collapse;padding:3px 3px 3px 3px""&gt;    &lt;tr style=""text-align:center;font-weight:bold;background:#9CBCE2""&gt;    &lt;td&gt;1623&lt;/td&gt;    &lt;/tr&gt;    &lt;tr&gt;    &lt;td&gt;    &lt;table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-spacing:0px; padding:3px 3px 3px 3px""&gt;    &lt;tr&gt;    &lt;td&gt;FID&lt;/td&gt;    &lt;td&gt;3&lt;/td&gt;    &lt;/tr&gt;    &lt;tr bgcolor=""#D4E4F3""&gt;    &lt;td&gt;CID&lt;/td&gt;    &lt;td&gt;1623&lt;/td&gt;    &lt;/tr&gt;    &lt;/table&gt;    &lt;/td&gt;    &lt;/tr&gt;    &lt;/table&gt;    &lt;/body&gt;&lt;script type=""text/javascript""&gt;    				function changeImage(attElement, nameElement) {    				document.getElementById('imageAttachment').src = attElement;    				document.getElementById('imageName').innerHTML = nameElement;}    			&lt;/script&gt;&lt;/html&gt;",1
-147.938575905,64.8977173822761,1640,-1,0,1640,Temporary Places/BorealInterior_50random_500m_JS.kmz/BorealInterior_50random_500m_JS,0,-1,1640,205,"&lt;html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""&gt;    &lt;head&gt;    &lt;META http-equiv=""Content-Type"" content=""text/html""&gt;    &lt;meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""&gt;    &lt;/head&gt;    &lt;body style=""margin:0px 0px 0px 0px;overflow:auto;background:#FFFFFF;""&gt;    &lt;table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-collapse:collapse;padding:3px 3px 3px 3px""&gt;    &lt;tr style=""text-align:center;font-weight:bold;background:#9CBCE2""&gt;    &lt;td&gt;1640&lt;/td&gt;    &lt;/tr&gt;    &lt;tr&gt;    &lt;td&gt;    &lt;table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-spacing:0px; padding:3px 3px 3px 3px""&gt;    &lt;tr&gt;    &lt;td&gt;FID&lt;/td&gt;    &lt;td&gt;4&lt;/td&gt;    &lt;/tr&gt;    &lt;tr bgcolor=""#D4E4F3""&gt;    &lt;td&gt;CID&lt;/td&gt;    &lt;td&gt;1640&lt;/td&gt;    &lt;/tr&gt;    &lt;/table&gt;    &lt;/td&gt;    &lt;/tr&gt;    &lt;/table&gt;    &lt;/body&gt;&lt;script type=""text/javascript""&gt;    				function changeImage(attElement, nameElement) {    				document.getElementById('imageAttachment').src = attElement;    				document.getElementById('imageName').innerHTML = nameElement;}    			&lt;/script&gt;&lt;/html&gt;",1
-147.83519901,64.9132379222764,1668,-1,0,1668,Temporary Places/BorealInterior_50random_500m_JS.kmz/BorealInterior_50random_500m_JS,0,-1,1668,206,"&lt;html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""&gt;    &lt;head&gt;    &lt;META http-equiv=""Content-Type"" content=""text/html""&gt;    &lt;meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""&gt;    &lt;/head&gt;    &lt;body style=""margin:0px 0px 0px 0px;overflow:auto;background:#FFFFFF;""&gt;    &lt;table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-collapse:collapse;padding:3px 3px 3px 3px""&gt;    &lt;tr style=""text-align:center;font-weight:bold;background:#9CBCE2""&gt;    &lt;td&gt;1668&lt;/td&gt;    &lt;/tr&gt;    &lt;tr&gt;    &lt;td&gt;    &lt;table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-spacing:0px; padding:3px 3px 3px 3px""&gt;    &lt;tr&gt;    &lt;td&gt;FID&lt;/td&gt;    &lt;td&gt;5&lt;/td&gt;    &lt;/tr&gt;    &lt;tr bgcolor=""#D4E4F3""&gt;    &lt;td&gt;CID&lt;/td&gt;    &lt;td&gt;1668&lt;/td&gt;    &lt;/tr&gt;    &lt;/table&gt;    &lt;/td&gt;    &lt;/tr&gt;    &lt;/table&gt;    &lt;/body&gt;&lt;script type=""text/javascript""&gt;    				function changeImage(attElement, nameElement) {    				document.getElementById('imageAttachment').src = attElement;    				document.getElementById('imageName').innerHTML = nameElement;}    			&lt;/script&gt;&lt;/html&gt;",1
-147.844466003,64.9195479212766,1669,-1,0,1669,Temporary Places/BorealInterior_50random_500m_JS.kmz/BorealInterior_50random_500m_JS,0,-1,1669,207,"&lt;html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""&gt;    &lt;head&gt;    &lt;META http-equiv=""Content-Type"" content=""text/html""&gt;    &lt;meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""&gt;    &lt;/head&gt;    &lt;body style=""margin:0px 0px 0px 0px;overflow:auto;background:#FFFFFF;""&gt;    &lt;table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-collapse:collapse;padding:3px 3px 3px 3px""&gt;    &lt;tr style=""text-align:center;font-weight:bold;background:#9CBCE2""&gt;    &lt;td&gt;1669&lt;/td&gt;    &lt;/tr&gt;    &lt;tr&gt;    &lt;td&gt;    &lt;table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-spacing:0px; padding:3px 3px 3px 3px""&gt;    &lt;tr&gt;    &lt;td&gt;FID&lt;/td&gt;    &lt;td&gt;6&lt;/td&gt;    &lt;/tr&gt;    &lt;tr bgcolor=""#D4E4F3""&gt;    &lt;td&gt;CID&lt;/td&gt;    &lt;td&gt;1669&lt;/td&gt;    &lt;/tr&gt;    &lt;/table&gt;    &lt;/td&gt;    &lt;/tr&gt;    &lt;/table&gt;    &lt;/body&gt;&lt;script type=""text/javascript""&gt;    				function changeImage(attElement, nameElement) {    				document.getElementById('imageAttachment').src = attElement;    				document.getElementById('imageName').innerHTML = nameElement;}    			&lt;/script&gt;&lt;/html&gt;",1
-148.705779525,65.0728813702798,1688,-1,0,1688,Temporary Places/BorealInterior_50random_500m_JS.kmz/BorealInterior_50random_500m_JS,0,-1,1688,208,"&lt;html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""&gt;    &lt;head&gt;    &lt;META http-equiv=""Content-Type"" content=""text/html""&gt;    &lt;meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""&gt;    &lt;/head&gt;    &lt;body style=""margin:0px 0px 0px 0px;overflow:auto;background:#FFFFFF;""&gt;    &lt;table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-collapse:collapse;padding:3px 3px 3px 3px""&gt;    &lt;tr style=""text-align:center;font-weight:bold;background:#9CBCE2""&gt;    &lt;td&gt;1688&lt;/td&gt;    &lt;/tr&gt;    &lt;tr&gt;    &lt;td&gt;    &lt;table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-spacing:0px; padding:3px 3px 3px 3px""&gt;    &lt;tr&gt;    &lt;td&gt;FID&lt;/td&gt;    &lt;td&gt;7&lt;/td&gt;    &lt;/tr&gt;    &lt;tr bgcolor=""#D4E4F3""&gt;    &lt;td&gt;CID&lt;/td&gt;    &lt;td&gt;1688&lt;/td&gt;    &lt;/tr&gt;    &lt;/table&gt;    &lt;/td&gt;    &lt;/tr&gt;    &lt;/table&gt;    &lt;/body&gt;&lt;script type=""text/javascript""&gt;    				function changeImage(attElement, nameElement) {    				document.getElementById('imageAttachment').src = attElement;    				document.getElementById('imageName').innerHTML = nameElement;}    			&lt;/script&gt;&lt;/html&gt;",1
-148.970942911,66.3271864953072,1707,-1,0,1707,Temporary Places/BorealInterior_50random_500m_JS.kmz/BorealInterior_50random_500m_JS,0,-1,1707,209,"&lt;html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""&gt;    &lt;head&gt;    &lt;META http-equiv=""Content-Type"" content=""text/html""&gt;    &lt;meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""&gt;    &lt;/head&gt;    &lt;body style=""margin:0px 0px 0px 0px;overflow:auto;background:#FFFFFF;""&gt;    &lt;table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-collapse:collapse;padding:3px 3px 3px 3px""&gt;    &lt;tr style=""text-align:center;font-weight:bold;background:#9CBCE2""&gt;    &lt;td&gt;1707&lt;/td&gt;    &lt;/tr&gt;    &lt;tr&gt;    &lt;td&gt;    &lt;table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-spacing:0px; padding:3px 3px 3px 3px""&gt;    &lt;tr&gt;    &lt;td&gt;FID&lt;/td&gt;    &lt;td&gt;8&lt;/td&gt;    &lt;/tr&gt;    &lt;tr bgcolor=""#D4E4F3""&gt;    &lt;td&gt;CID&lt;/td&gt;    &lt;td&gt;1707&lt;/td&gt;    &lt;/tr&gt;    &lt;/table&gt;    &lt;/td&gt;    &lt;/tr&gt;    &lt;/table&gt;    &lt;/body&gt;&lt;script type=""text/javascript""&gt;    				function changeImage(attElement, nameElement) {    				document.getElementById('imageAttachment').src = attElement;    				document.getElementById('imageName').innerHTML = nameElement;}    			&lt;/script&gt;&lt;/html&gt;",1
-148.770170008,65.223072776283,1716,-1,0,1716,Temporary Places/BorealInterior_50random_500m_JS.kmz/BorealInterior_50random_500m_JS,0,-1,1716,210,"&lt;html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""&gt;    &lt;head&gt;    &lt;META http-equiv=""Content-Type"" content=""text/html""&gt;    &lt;meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""&gt;    &lt;/head&gt;    &lt;body style=""margin:0px 0px 0px 0px;overflow:auto;background:#FFFFFF;""&gt;    &lt;table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-collapse:collapse;padding:3px 3px 3px 3px""&gt;    &lt;tr style=""text-align:center;font-weight:bold;background:#9CBCE2""&gt;    &lt;td&gt;1716&lt;/td&gt;    &lt;/tr&gt;    &lt;tr&gt;    &lt;td&gt;    &lt;table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-spacing:0px; padding:3px 3px 3px 3px""&gt;    &lt;tr&gt;    &lt;td&gt;FID&lt;/td&gt;    &lt;td&gt;9&lt;/td&gt;    &lt;/tr&gt;    &lt;tr bgcolor=""#D4E4F3""&gt;    &lt;td&gt;CID&lt;/td&gt;    &lt;td&gt;1716&lt;/td&gt;    &lt;/tr&gt;    &lt;/table&gt;    &lt;/td&gt;    &lt;/tr&gt;    &lt;/table&gt;    &lt;/body&gt;&lt;script type=""text/javascript""&gt;    				function changeImage(attElement, nameElement) {    				document.getElementById('imageAttachment').src = attElement;    				document.getElementById('imageName').innerHTML = nameElement;}    			&lt;/script&gt;&lt;/html&gt;",1
-147.945889806,64.8681649222755,1798,-1,0,1798,Temporary Places/BorealInterior_50random_500m_JS.kmz/BorealInterior_50random_500m_JS,0,-1,1798,211,"&lt;html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""&gt;    &lt;head&gt;    &lt;META http-equiv=""Content-Type"" content=""text/html""&gt;    &lt;meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""&gt;    &lt;/head&gt;    &lt;body style=""margin:0px 0px 0px 0px;overflow:auto;background:#FFFFFF;""&gt;    &lt;table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-collapse:collapse;padding:3px 3px 3px 3px""&gt;    &lt;tr style=""text-align:center;font-weight:bold;background:#9CBCE2""&gt;    &lt;td&gt;1798&lt;/td&gt;    &lt;/tr&gt;    &lt;tr&gt;    &lt;td&gt;    &lt;table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-spacing:0px; padding:3px 3px 3px 3px""&gt;    &lt;tr&gt;    &lt;td&gt;FID&lt;/td&gt;    &lt;td&gt;10&lt;/td&gt;    &lt;/tr&gt;    &lt;tr bgcolor=""#D4E4F3""&gt;    &lt;td&gt;CID&lt;/td&gt;    &lt;td&gt;1798&lt;/td&gt;    &lt;/tr&gt;    &lt;/table&gt;    &lt;/td&gt;    &lt;/tr&gt;    &lt;/table&gt;    &lt;/body&gt;&lt;script type=""text/javascript""&gt;    				function changeImage(attElement, nameElement) {    				document.getElementById('imageAttachment').src = attElement;    				document.getElementById('imageName').innerHTML = nameElement;}    			&lt;/script&gt;&lt;/html&gt;",1
